Isotope,Energy (keV),XS (mb),Info
105Pd,331.48,3.2534740278e-05,"(n,n')105Pd"
105Pd,787.0,3.0507499999999995e-05,"(n,n')105Pd"
105Pd,344.51,2.0961144015624e-05,"(n,n')105Pd"
105Pd,446.71,2.014578378e-05,"(n,n')105Pd"
105Pd,727.22,2.0049660756e-05,"(n,n')105Pd"
105Pd,650.7,1.9891101308e-05,"(n,n')105Pd"
105Pd,392.66,1.8908108379999998e-05,"(n,n')105Pd"
105Pd,420.97,1.6941682979999998e-05,"(n,n')105Pd"
105Pd,284.84,1.5756165683999997e-05,"(n,n')105Pd"
105Pd,416.15,1.3584380904e-05,"(n,n')105Pd"
105Pd,64.0,1.153844079e-05,"(n,n')105Pd"
105Pd,135.91,1.1448886122e-05,"(n,n')105Pd"
105Pd,673.17,9.9459899e-06,"(n,n')105Pd"
105Pd,408.0,6.4562631119999995e-06,"(n,n')105Pd"
105Pd,370.19,5.804977891999999e-06,"(n,n')105Pd"
105Pd,155.39,4.4439332700000005e-06,"(n,n')105Pd"
105Pd,216.24,2.2920044640000003e-06,"(n,n')105Pd"
105Pd,328.66,1.5202499199999999e-06,"(n,n')105Pd"
105Pd,325.31,1.30649798e-06,"(n,n')105Pd"
106Cd,632.7,202.93261206165417,"(n,n')106Cd"
106Cd,1737.8,80.11789,"(n,n')106Cd"
106Cd,861.1,0.0013207747866012922,"(n,n')106Cd"
106Cd,610.7,0.00021548980604587175,"(n,n')106Cd"
106Cd,811.2,0.00021410414283866365,"(n,n')106Cd"
106Cd,1009.3,0.0001859696311746144,"(n,n')106Cd"
106Cd,997.9,0.0001842532321902589,"(n,n')106Cd"
106Cd,226.1,0.00014597111082217102,"(n,n')106Cd"
106Cd,1471.8,0.00013174837388064186,"(n,n')106Cd"
106Cd,844.8,0.00012204518381775937,"(n,n')106Cd"
106Cd,991.8,0.00010882406899760154,"(n,n')106Cd"
106Cd,1716.6,0.00010568255542955293,"(n,n')106Cd"
106Cd,1852.9,0.00010330861910688489,"(n,n')106Cd"
106Cd,1705.9,9.169419239547946e-05,"(n,n')106Cd"
106Cd,1083.9,7.404968169553709e-05,"(n,n')106Cd"
106Cd,836.8,6.623036587141528e-05,"(n,n')106Cd"
106Cd,387.9,1.3716269061546276e-05,"(n,n')106Cd"
106Cd,161.1,1.8611437594975646e-06,"(n,n')106Cd"
106Pd,511.85,158.02400145983273,"(n,n')106Pd"
106Pd,1572.01,22.722525340229762,"(n,n')106Pd"
106Pd,616.16,10.360258078438056,"(n,n')106Pd"
106Pd,1128.01,5.635990852330171,"(n,n')106Pd"
106Pd,717.4,4.912830755776568,"(n,n')106Pd"
106Pd,621.92,3.042393970832166,"(n,n')106Pd"
106Pd,955.85,1.636026330937648,"(n,n')106Pd"
106Pd,1050.4,0.6070328156184039,"(n,n')106Pd"
106Pd,873.48,0.5495622886862435,"(n,n')106Pd"
106Pd,1194.54,0.5296517446795652,"(n,n')106Pd"
106Pd,1045.8,0.5007150407321198,"(n,n')106Pd"
106Pd,1397.62,0.47122484,"(n,n')106Pd"
106Pd,521.61,0.3022026632808306,"(n,n')106Pd"
106Pd,471.21,0.22419921353404967,"(n,n')106Pd"
106Pd,429.64,0.22281819522270985,"(n,n')106Pd"
106Pd,847.04,0.189645721035426,"(n,n')106Pd"
106Pd,1114.48,0.1843975691119133,"(n,n')106Pd"
106Pd,1927.25,0.1687492239682292,"(n,n')106Pd"
106Pd,804.27,0.15618815802062733,"(n,n')106Pd"
106Pd,680.24,0.1438298754936537,"(n,n')106Pd"
106Pd,808.31,0.13883870124711745,"(n,n')106Pd"
106Pd,1168.25,0.11531786846821201,"(n,n')106Pd"
106Pd,1273.39,0.09016264026629209,"(n,n')106Pd"
106Pd,1766.26,0.08761404295712286,"(n,n')106Pd"
106Pd,1108.72,0.08666674327577993,"(n,n')106Pd"
106Pd,1796.96,0.0851851453635228,"(n,n')106Pd"
106Pd,578.38,0.07997722672838414,"(n,n')106Pd"
106Pd,1222.8,0.0799553486614069,"(n,n')106Pd"
106Pd,1053.69,0.07990524081750162,"(n,n')106Pd"
106Pd,2083.86,0.07954006198655779,"(n,n')106Pd"
106Pd,684.84,0.0789222418088088,"(n,n')106Pd"
106Pd,793.16,0.06636294901782545,"(n,n')106Pd"
106Pd,1562.25,0.06331373162107323,"(n,n')106Pd"
106Pd,703.03,0.05591538281301238,"(n,n')106Pd"
106Pd,747.91,0.05506000518120058,"(n,n')106Pd"
106Pd,2439.1,0.05079361882597352,"(n,n')106Pd"
106Pd,1889.55,0.046884511760359036,"(n,n')106Pd"
106Pd,1180.8,0.04480739890586507,"(n,n')106Pd"
106Pd,1730.64,0.033007278316473015,"(n,n')106Pd"
106Pd,2242.49,0.02913502758298746,"(n,n')106Pd"
106Pd,428.48,0.027498314311143756,"(n,n')106Pd"
106Pd,715.86,0.025583297719770873,"(n,n')106Pd"
106Pd,1838.96,0.02318698877762373,"(n,n')106Pd"
106Pd,328.4,0.019327752164190838,"(n,n')106Pd"
106Pd,221.7,0.017784400213073228,"(n,n')106Pd"
106Pd,847.38,0.017664435247824795,"(n,n')106Pd"
106Pd,439.24,0.015937436780210423,"(n,n')106Pd"
106Pd,1305.33,0.014681111722485032,"(n,n')106Pd"
106Pd,1136.71,0.007913851932811126,"(n,n')106Pd"
106Pd,434.24,0.007891544919494016,"(n,n')106Pd"
106Pd,1150.1,0.007797642546703041,"(n,n')106Pd"
106Pd,2308.81,0.0068147772990071465,"(n,n')106Pd"
106Pd,1121.56,0.006476369710494934,"(n,n')106Pd"
106Pd,228.93,0.005616084162451019,"(n,n')106Pd"
106Pd,1564.78,0.005405325014228337,"(n,n')106Pd"
106Pd,1209.85,0.004893782880453489,"(n,n')106Pd"
106Pd,418.53,0.004157614579932127,"(n,n')106Pd"
106Pd,1489.64,0.004121781700546855,"(n,n')106Pd"
106Pd,1771.09,0.003356011144364084,"(n,n')106Pd"
106Pd,751.16,0.003322188760599051,"(n,n')106Pd"
106Pd,374.63,0.003311169545774702,"(n,n')106Pd"
106Pd,433.68,0.0030544141950629897,"(n,n')106Pd"
106Pd,948.62,0.0021550569795332876,"(n,n')106Pd"
106Pd,1177.55,0.0005175461814710318,"(n,n')106Pd"
106Pd,1420.43,0.0004373161514049496,"(n,n')106Pd"
106Pd,1076.31,0.00014315106280129522,"(n,n')106Pd"
106Pd,1793.71,9.91045662677222e-05,"(n,n')106Pd"
108Pd,433.94,176.44166508510273,"(n,n')108Pd"
108Pd,1612.71,16.9977042991388,"(n,n')108Pd"
108Pd,497.26,12.433691860977714,"(n,n')108Pd"
108Pd,614.28,10.204509820348967,"(n,n')108Pd"
108Pd,931.2,5.328725133047379,"(n,n')108Pd"
108Pd,998.43,4.079436028790674,"(n,n')108Pd"
108Pd,618.84,3.364886990023953,"(n,n')108Pd"
108Pd,1115.45,1.6997724655448156,"(n,n')108Pd"
108Pd,722.94,0.7058691063014556,"(n,n')108Pd"
108Pd,693.9,0.4392693174198855,"(n,n')108Pd"
108Pd,1522.06,0.420105857074046,"(n,n')108Pd"
108Pd,1707.06,0.292891972045973,"(n,n')108Pd"
108Pd,315.35,0.25275678138454355,"(n,n')108Pd"
108Pd,1784.06,0.2264352157340421,"(n,n')108Pd"
108Pd,880.27,0.22101034305497122,"(n,n')108Pd"
108Pd,1106.02,0.20871203718264092,"(n,n')108Pd"
108Pd,1269.78,0.20782974827806144,"(n,n')108Pd"
108Pd,1007.24,0.18256055714122627,"(n,n')108Pd"
108Pd,2098.67,0.17368724414399914,"(n,n')108Pd"
108Pd,678.04,0.16076874565899543,"(n,n')108Pd"
108Pd,404.0,0.15191981356115553,"(n,n')108Pd"
108Pd,901.26,0.14584302795509435,"(n,n')108Pd"
108Pd,1847.25,0.13257603702023843,"(n,n')108Pd"
108Pd,371.35,0.09940968227661302,"(n,n')108Pd"
108Pd,947.27,0.099259580270628,"(n,n')108Pd"
108Pd,1539.96,0.09809496672557586,"(n,n')108Pd"
108Pd,1970.16,0.09394635999999999,"(n,n')108Pd"
108Pd,1664.73,0.09379097311039043,"(n,n')108Pd"
108Pd,1581.06,0.08852120662427698,"(n,n')108Pd"
108Pd,941.63,0.07788817900391352,"(n,n')108Pd"
108Pd,1349.99,0.07556821770555028,"(n,n')108Pd"
108Pd,1460.3,0.07304984136542318,"(n,n')108Pd"
108Pd,608.76,0.06887508772845698,"(n,n')108Pd"
108Pd,1024.8,0.05812883039385072,"(n,n')108Pd"
108Pd,1209.8,0.052363637214116666,"(n,n')108Pd"
108Pd,383.01,0.0464122653911507,"(n,n')108Pd"
108Pd,509.98,0.04564020890328915,"(n,n')108Pd"
108Pd,1957.56,0.044560349460947335,"(n,n')108Pd"
108Pd,1441.18,0.039980868414813485,"(n,n')108Pd"
108Pd,907.78,0.03847108424508428,"(n,n')108Pd"
108Pd,225.75,0.0348550291016816,"(n,n')108Pd"
108Pd,692.9,0.03377027491148647,"(n,n')108Pd"
108Pd,1286.8,0.030342129344777757,"(n,n')108Pd"
108Pd,2391.5,0.02995036537258011,"(n,n')108Pd"
108Pd,548.67,0.028818635306351047,"(n,n')108Pd"
108Pd,1083.8,0.028513421768247033,"(n,n')108Pd"
108Pd,204.76,0.027758579683506535,"(n,n')108Pd"
108Pd,388.4,0.023732917857387483,"(n,n')108Pd"
108Pd,1234.25,0.021737781658994072,"(n,n')108Pd"
108Pd,654.65,0.02102981283473376,"(n,n')108Pd"
108Pd,966.78,0.020238748220744642,"(n,n')108Pd"
108Pd,1165.22,0.01834127216656487,"(n,n')108Pd"
108Pd,546.84,0.0165997352283996,"(n,n')108Pd"
108Pd,1058.65,0.015577640287572612,"(n,n')108Pd"
108Pd,1555.91,0.01246211317807769,"(n,n')108Pd"
108Pd,620.8,0.012304264733081181,"(n,n')108Pd"
108Pd,679.8,0.007036301222883759,"(n,n')108Pd"
108Pd,362.0,0.004815640982844291,"(n,n')108Pd"
108Pd,601.04,0.00438717182238249,"(n,n')108Pd"
108Pd,573.82,0.004231799393399847,"(n,n')108Pd"
