Isotope,Energy (keV),XS (mb),Info
106Pd,621.92,125.68486058881881,"(n,n')106Pd"
106Pd,1045.8,122.480275126915,"(n,n')106Pd"
106Pd,1397.62,108.6049359652119,"(n,n')106Pd"
106Pd,1572.01,74.39723634988233,"(n,n')106Pd"
106Pd,429.64,54.50372488583903,"(n,n')106Pd"
106Pd,1194.54,54.160553182912565,"(n,n')106Pd"
106Pd,873.48,39.04849046362895,"(n,n')106Pd"
106Pd,804.27,34.97673601439422,"(n,n')106Pd"
106Pd,847.38,24.525995353087897,"(n,n')106Pd"
106Pd,1796.96,22.965349126709093,"(n,n')106Pd"
106Pd,1562.25,19.29949659036006,"(n,n')106Pd"
106Pd,1114.48,17.965060713220485,"(n,n')106Pd"
106Pd,680.24,14.012725102955246,"(n,n')106Pd"
106Pd,1053.69,13.84114139527659,"(n,n')106Pd"
106Pd,703.03,12.521676376614284,"(n,n')106Pd"
106Pd,1766.26,12.088911850151243,"(n,n')106Pd"
106Pd,1180.8,12.079776995644485,"(n,n')106Pd"
106Pd,747.91,10.834638980688784,"(n,n')106Pd"
106Pd,1108.72,8.443567408535262,"(n,n')106Pd"
106Pd,428.48,8.382123684335932,"(n,n')106Pd"
106Pd,578.38,8.17822443738969,"(n,n')106Pd"
106Pd,684.84,7.689053996466792,"(n,n')106Pd"
106Pd,1564.78,7.504965097507928,"(n,n')106Pd"
106Pd,808.31,6.26140553058126,"(n,n')106Pd"
106Pd,955.85,5.356615746348807,"(n,n')106Pd"
106Pd,328.4,4.727775030036465,"(n,n')106Pd"
106Pd,1273.39,4.090171675697071,"(n,n')106Pd"
106Pd,1222.8,3.6177728227106325,"(n,n')106Pd"
106Pd,715.86,3.5299618706311735,"(n,n')106Pd"
106Pd,221.7,3.49959203895105,"(n,n')106Pd"
106Pd,1730.64,3.2157569201669784,"(n,n')106Pd"
106Pd,793.16,3.002751878530745,"(n,n')106Pd"
106Pd,948.62,2.992165718548953,"(n,n')106Pd"
106Pd,2242.49,2.8385002141327433,"(n,n')106Pd"
106Pd,434.24,2.405526299809949,"(n,n')106Pd"
106Pd,1889.55,2.1268864960557248,"(n,n')106Pd"
106Pd,847.04,1.902683352336549,"(n,n')106Pd"
106Pd,2308.81,1.837218674976721,"(n,n')106Pd"
106Pd,439.24,1.1324152491542476,"(n,n')106Pd"
106Pd,228.93,1.105126019968056,"(n,n')106Pd"
106Pd,1150.1,1.075912150660756,"(n,n')106Pd"
106Pd,1838.96,1.0491512981253948,"(n,n')106Pd"
106Pd,521.61,0.9894605813258154,"(n,n')106Pd"
106Pd,1168.25,0.9622310729852176,"(n,n')106Pd"
106Pd,751.16,0.8956400136009701,"(n,n')106Pd"
106Pd,374.63,0.7415024551775753,"(n,n')106Pd"
106Pd,1771.09,0.5813263848282292,"(n,n')106Pd"
106Pd,1136.71,0.35690218804415375,"(n,n')106Pd"
106Pd,1121.56,0.2930389863932166,"(n,n')106Pd"
106Pd,1489.64,0.29286826645652864,"(n,n')106Pd"
106Pd,2083.86,0.2604270738634997,"(n,n')106Pd"
106Pd,418.53,0.1881213112868848,"(n,n')106Pd"
106Pd,433.68,0.13774924255170803,"(n,n')106Pd"
106Pd,1177.55,0.10184209052685025,"(n,n')106Pd"
106Pd,1420.43,0.0979324660840457,"(n,n')106Pd"
106Pd,1076.31,0.02816908716317201,"(n,n')106Pd"
106Pd,1793.71,0.019501672644504905,"(n,n')106Pd"
108Pd,433.94,1765.1991728631563,"(n,n')108Pd"
108Pd,497.26,395.2215817640888,"(n,n')108Pd"
108Pd,614.28,182.41099465354924,"(n,n')108Pd"
108Pd,931.2,169.38068241856652,"(n,n')108Pd"
108Pd,1007.24,120.82643599217964,"(n,n')108Pd"
108Pd,618.84,117.23043103226166,"(n,n')108Pd"
108Pd,404.0,100.73324518381749,"(n,n')108Pd"
108Pd,901.26,96.70392082399401,"(n,n')108Pd"
108Pd,1106.02,78.38449976743225,"(n,n')108Pd"
108Pd,880.27,72.87005785667114,"(n,n')108Pd"
108Pd,693.9,69.0189521264782,"(n,n')108Pd"
108Pd,1612.71,65.96099216485077,"(n,n')108Pd"
108Pd,2098.67,41.37398482867413,"(n,n')108Pd"
108Pd,1581.06,37.26145055067329,"(n,n')108Pd"
108Pd,1539.96,36.840830966498444,"(n,n')108Pd"
108Pd,1522.06,30.314697715867347,"(n,n')108Pd"
108Pd,509.98,30.20665476026744,"(n,n')108Pd"
108Pd,1441.18,26.461059672951787,"(n,n')108Pd"
108Pd,1784.06,26.421286035017086,"(n,n')108Pd"
108Pd,608.76,25.86692833003543,"(n,n')108Pd"
108Pd,1664.73,22.341918761280247,"(n,n')108Pd"
108Pd,947.27,21.312807506873558,"(n,n')108Pd"
108Pd,1707.06,20.879247516147107,"(n,n')108Pd"
108Pd,315.35,20.358865122895732,"(n,n')108Pd"
108Pd,678.04,18.759083037403315,"(n,n')108Pd"
108Pd,941.63,17.710174137887844,"(n,n')108Pd"
108Pd,1847.25,16.67136741321521,"(n,n')108Pd"
108Pd,998.43,15.830588115138776,"(n,n')108Pd"
108Pd,388.4,15.707466546418205,"(n,n')108Pd"
108Pd,383.01,15.302743044218182,"(n,n')108Pd"
108Pd,225.75,13.09025485141056,"(n,n')108Pd"
108Pd,1083.8,12.00222518156062,"(n,n')108Pd"
108Pd,204.76,10.425092463807957,"(n,n')108Pd"
108Pd,1349.99,9.502663908551924,"(n,n')108Pd"
108Pd,966.78,8.51914636947554,"(n,n')108Pd"
108Pd,1115.45,6.596107275579658,"(n,n')108Pd"
108Pd,548.67,6.552766518406165,"(n,n')108Pd"
108Pd,722.94,5.591307742255962,"(n,n')108Pd"
108Pd,1460.3,5.391667417365271,"(n,n')108Pd"
108Pd,654.65,4.781748060582327,"(n,n')108Pd"
108Pd,1970.16,4.704880295806186,"(n,n')108Pd"
108Pd,1234.25,4.667490582384425,"(n,n')108Pd"
108Pd,1024.8,4.1945568996813405,"(n,n')108Pd"
108Pd,1209.8,3.7328211306101093,"(n,n')108Pd"
108Pd,1058.65,3.542035870759566,"(n,n')108Pd"
108Pd,1286.8,3.540430209722608,"(n,n')108Pd"
108Pd,1957.56,3.2889131557884537,"(n,n')108Pd"
108Pd,679.8,2.96180768512278,"(n,n')108Pd"
108Pd,1555.91,2.8336289057558863,"(n,n')108Pd"
108Pd,907.78,2.7760605304790427,"(n,n')108Pd"
108Pd,2391.5,2.2105785050199986,"(n,n')108Pd"
108Pd,1165.22,2.1401264665832347,"(n,n')108Pd"
108Pd,1269.78,2.099703763885088,"(n,n')108Pd"
108Pd,573.82,1.7813017902796293,"(n,n')108Pd"
108Pd,371.35,1.7791320848269778,"(n,n')108Pd"
108Pd,620.8,0.8878716147845322,"(n,n')108Pd"
108Pd,389.9,0.5588172175268182,"(n,n')108Pd"
108Pd,692.9,0.34118105770023355,"(n,n')108Pd"
108Pd,601.04,0.31274618329590914,"(n,n')108Pd"
108Pd,699.82,0.2417761623945537,"(n,n')108Pd"
108Pd,475.04,0.22806027933960438,"(n,n')108Pd"
108Pd,546.84,0.16770711039852504,"(n,n')108Pd"
108Pd,330.9,0.13447247205844803,"(n,n')108Pd"
108Pd,514.82,0.1342033773943857,"(n,n')108Pd"
108Pd,362.0,0.048652416610104735,"(n,n')108Pd"
108Pd,328.15,0.0362408361053897,"(n,n')108Pd"
109Ag,88.03,139.47130775521703,"(n,n')109Ag"
109Ag,311.38,127.43223162414895,"(n,n')109Ag"
109Ag,415.21,123.12339115332924,"(n,n')109Ag"
109Ag,44.71,43.6792678484233,"(n,n')109Ag"
109Ag,707.0,34.425115326,"(n,n')109Ag"
109Ag,870.0,34.22592,"(n,n')109Ag"
109Ag,789.0,32.86167,"(n,n')109Ag"
109Ag,420.0,28.87925,"(n,n')109Ag"
109Ag,701.91,28.38644289,"(n,n')109Ag"
109Ag,647.26,24.667335485,"(n,n')109Ag"
109Ag,706.0,23.269199999999998,"(n,n')109Ag"
109Ag,890.0,22.37015,"(n,n')109Ag"
109Ag,911.0,22.091641666666668,"(n,n')109Ag"
109Ag,781.44,20.618968178231,"(n,n')109Ag"
109Ag,496.89,19.674232200000002,"(n,n')109Ag"
109Ag,447.55,18.106580317,"(n,n')109Ag"
109Ag,636.32,17.439836243562734,"(n,n')109Ag"
109Ag,103.83,13.452749893070362,"(n,n')109Ag"
109Ag,551.38,13.354160981,"(n,n')109Ag"
109Ag,412.97,11.5343834408446,"(n,n')109Ag"
109Ag,675.39,10.72734,"(n,n')109Ag"
109Ag,390.53,8.588718618,"(n,n')109Ag"
109Ag,309.14,8.5759750771994,"(n,n')109Ag"
109Ag,602.55,8.071904425,"(n,n')109Ag"
109Ag,600.72,4.9062678,"(n,n')109Ag"
109Ag,558.09,4.475656127234001,"(n,n')109Ag"
109Ag,395.62,3.816514674,"(n,n')109Ag"
109Ag,736.73,3.0922134234233,"(n,n')109Ag"
109Ag,862.76,2.877548702,"(n,n')109Ag"
109Ag,145.12,2.3657485742023,"(n,n')109Ag"
109Ag,286.7,1.333128492,"(n,n')109Ag"
109Ag,454.26,1.0296849602002,"(n,n')109Ag"
109Ag,423.91,0.96391009,"(n,n')109Ag"
109Ag,724.35,0.32955381259556,"(n,n')109Ag"
10B,718.35,34.56244994271891,"(n,n')10B"
10B,1021.8,1.8923973313872353,"(n,n')10B"
10B,414.15,0.4889950727824515,"(n,n')10B"
10B,1435.95,0.2587124641396843,"(n,n')10B"
10B,2154.3,0.19995724700109022,"(n,n')10B"
110Pd,373.81,1887.8489992461728,"(n,n')110Pd"
110Pd,439.81,529.2779908607787,"(n,n')110Pd"
110Pd,546.84,211.33445624606838,"(n,n')110Pd"
110Pd,572.9,119.66802267885512,"(n,n')110Pd"
110Pd,813.62,105.85584699224748,"(n,n')110Pd"
110Pd,584.61,101.18487535871986,"(n,n')110Pd"
110Pd,398.59,96.94001112587804,"(n,n')110Pd"
110Pd,1663.87,89.9840940629077,"(n,n')110Pd"
110Pd,1515.87,87.60784182296226,"(n,n')110Pd"
110Pd,1214.41,85.53422506431832,"(n,n')110Pd"
110Pd,1096.26,73.81455055663358,"(n,n')110Pd"
110Pd,935.19,64.37037205496642,"(n,n')110Pd"
110Pd,477.58,62.73463005347809,"(n,n')110Pd"
110Pd,796.86,62.20320912634204,"(n,n')110Pd"
110Pd,97.32,56.94878936059738,"(n,n')110Pd"
110Pd,838.4,56.225207786780196,"(n,n')110Pd"
110Pd,840.6,53.886541791293425,"(n,n')110Pd"
110Pd,656.45,52.408347299367115,"(n,n')110Pd"
110Pd,1267.19,38.32715366146835,"(n,n')110Pd"
110Pd,905.45,33.99107563616239,"(n,n')110Pd"
110Pd,357.05,29.733122153822233,"(n,n')110Pd"
110Pd,400.79,23.949679193892806,"(n,n')110Pd"
110Pd,1470.07,22.882588164665115,"(n,n')110Pd"
110Pd,267.7,20.52824435629648,"(n,n')110Pd"
110Pd,1224.06,17.996862789760463,"(n,n')110Pd"
110Pd,1766.69,16.027265,"(n,n')110Pd"
110Pd,2125.3,14.718856635060806,"(n,n')110Pd"
110Pd,299.4,12.54854145982573,"(n,n')110Pd"
110Pd,1526.33,10.959008902435913,"(n,n')110Pd"
110Pd,687.93,10.301481093608212,"(n,n')110Pd"
110Pd,291.56,10.081811113412202,"(n,n')110Pd"
110Pd,1345.26,9.517501178125471,"(n,n')110Pd"
110Pd,929.49,8.423939746608767,"(n,n')110Pd"
110Pd,1379.38,8.351599607136265,"(n,n')110Pd"
110Pd,464.39,7.811425753714885,"(n,n')110Pd"
110Pd,1221.05,7.581540501418552,"(n,n')110Pd"
110Pd,1462.38,7.348332991443266,"(n,n')110Pd"
110Pd,1560.65,6.092900592326916,"(n,n')110Pd"
110Pd,653.28,5.730971926902751,"(n,n')110Pd"
110Pd,388.35,5.270562975866736,"(n,n')110Pd"
110Pd,1013.81,5.23363842934989,"(n,n')110Pd"
110Pd,979.49,5.041140206828771,"(n,n')110Pd"
110Pd,1819.19,4.927440248847236,"(n,n')110Pd"
110Pd,722.25,4.7649758752683855,"(n,n')110Pd"
110Pd,1120.84,4.7649758752683855,"(n,n')110Pd"
110Pd,827.38,4.548012316386622,"(n,n')110Pd"
110Pd,729.47,4.493177389869593,"(n,n')110Pd"
110Pd,1076.06,4.468036953121611,"(n,n')110Pd"
110Pd,720.35,4.384562120491633,"(n,n')110Pd"
110Pd,942.97,2.978628322558632,"(n,n')110Pd"
110Pd,495.38,2.684590365319144,"(n,n')110Pd"
110Pd,1751.49,2.2078330875445955,"(n,n')110Pd"
110Pd,1355.35,1.5431529567213087,"(n,n')110Pd"
110Pd,693.97,1.1079029512258998,"(n,n')110Pd"
110Pd,428.79,0.9247862322827818,"(n,n')110Pd"
110Pd,332.0,0.42926395719397803,"(n,n')110Pd"
110Pd,426.59,0.16569456187296056,"(n,n')110Pd"
110Pd,96.79,0.0816035732386206,"(n,n')110Pd"
111Ag,391.28,131.85090984354227,"(n,n')111Ag"
111Ag,59.82,121.79795564050285,"(n,n')111Ag"
111Ag,289.71,118.00852986809869,"(n,n')111Ag"
111Ag,70.46,31.169460327869047,"(n,n')111Ag"
111Ag,376.71,27.52494489488,"(n,n')111Ag"
111Ag,508.85,21.490467055714284,"(n,n')111Ag"
111Ag,508.98,18.040788776666666,"(n,n')111Ag"
111Ag,547.05,16.892807773809523,"(n,n')111Ag"
111Ag,641.93,16.797305812499996,"(n,n')111Ag"
111Ag,404.86,15.771824654761906,"(n,n')111Ag"
111Ag,415.44,10.105505025,"(n,n')111Ag"
